WASTE_ID,SOURCE,ORG_ID,WWTP_NAME,COUNTRY,CNTRY_ISO,LATITUDE,LONGITUDE,QUAL_LOC,LAT_OUT,LON_OUT,STATUS,POP_SERVED,QUAL_POP,WASTE_DIS,QUAL_WASTE,LEVEL,QUAL_LEVEL,DF,HYRIV_ID,RIVER_DIS,COAST_10KM,COAST_50KM,DESIGN_CAP,QUAL_CAP
56733,12,3883,,Ukraine,UKR,48.535,34.631,1,48.506,34.727,Not Reported,3994,4,332.397,4,Secondary,2,461128.02,20412426,1774.044,0,1,,3
56734,12,3884,,Ukraine,UKR,48.543,39.398,1,48.585,39.306,Not Reported,42999,4,3578.147,4,Secondary,2,380.608,20409619,15.721,0,0,,3
56735,12,3885,,Ukraine,UKR,48.551,22.971,1,48.556,22.96,Not Reported,38653,4,3216.569,4,Secondary,2,412.939,20411926,15.336,0,0,,3
56736,12,3886,,Ukraine,UKR,48.554,39.407,1,48.594,39.498,Not Reported,18689,4,1555.2,4,Secondary,2,5,20409621,0.072,0,0,,3
56737,12,3887,,Ukraine,UKR,48.567,37.811,1,48.552,37.71,Not Reported,36362,4,3025.862,4,Secondary,2,6.111,20410571,0.179,0,0,,3
56738,12,3888,,Ukraine,UKR,48.578,39.364,1,48.573,39.277,Not Reported,342228,4,28478.711,4,Secondary,2,48.929,20409619,15.798,0,0,,3
56739,12,3889,,Ukraine,UKR,48.59,37.859,1,48.602,37.96,Not Reported,12266,4,1020.693,4,Secondary,2,19.707,20409494,0.221,0,0,,3
56740,12,3890,,Ukraine,UKR,48.599,34.623,1,48.619,34.723,Not Reported,9938,4,827.018,4,Secondary,2,238.464,20408327,2.273,0,1,,3
56741,12,3891,,Ukraine,UKR,48.619,37.994,1,48.623,38.006,Not Reported,82383,4,6855.56,4,Secondary,2,25.387,20408339,1.935,0,0,,3
56742,12,3892,,Ukraine,UKR,48.626,22.247,1,48.61,22.148,Not Reported,143635,4,11952.649,4,Secondary,2,138.617,20408733,19.038,0,0,,3
56743,12,3893,,Ukraine,UKR,48.632,33.109,1,48.598,33.177,Not Reported,64323,4,5352.662,4,Secondary,2,148.775,20410676,9.155,0,1,,3
56745,12,3895,,Ukraine,UKR,48.657,33.106,1,48.598,33.177,Not Reported,40608,4,3379.241,4,Secondary,2,235.074,20410676,9.155,0,1,,3
56746,12,3896,,Ukraine,UKR,48.778,38.535,1,48.785,38.627,Not Reported,3789,4,315.322,4,Secondary,2,45644.001,20404180,166.577,0,0,,3
56750,12,3900,,Ukraine,UKR,48.807,37.636,1,48.873,37.715,Not Reported,230372,4,19170.532,4,Secondary,2,73.814,20401835,16.156,0,0,,3
56751,12,3901,,Ukraine,UKR,48.858,38.502,1,48.856,38.515,Not Reported,9130,4,759.739,4,Secondary,2,18898.959,20403015,166.175,0,0,,3
56752,12,3902,,Ukraine,UKR,48.88,30.734,1,48.827,30.823,Not Reported,18721,4,1557.899,4,Secondary,2,388.716,20404077,6.991,0,0,,3
